Date,in/out ,Time,Count
,,,7
,,,8
,,,6
,,,6
,,,11
,,,11
,,,6
,,,6
,,,5
,,,4
,,,5
,,,6
,,,8
,in,11:46,9
,out,07:33,8
,in,08:10,8
,out,18:01,6
,out,18:49,5
,out,18:58,5
,out,09:16,8
,out,09:58,6
,out,18:50,9
,in,09:20,9
,out,21:27,5
,out,22:03,5
,out,21:37,8
,out,21:50,6
,out,09:42,6
,out,18:26,6
,out,19:19,7
,out,19:23,10
,out,19:29,8
,out,19:57,8
,out,20:10,6
,out,22:29,7
,out,22:30,6
,in,06:40,8
,out,07:05,10
,out,18:56,7
,out,19:09,8
,out,20:22,7
,out,21:00,9
,in,07:10,9
,out,09:12,7
,out,19:00,8
,out,09:57,7
,out,10:21,7
,out,20:51,6
,out,10:08,8
,out,10:13,5
,out,10:53,7
,out,18:24,6
,out,19:50,6
,out,20:00,10
22-05-2020,out,20:04,5
22-05-2020,out,20:06,8
22-05-2020,out,20:16,5
22-05-2020,out,20:19,5
22-05-2020,out,20:24,6
22-05-2020,out,20:34,7
23-05-2020,out,09:50,10
23-05-2020,out,18:45,10
23-05-2020,out,18:50,7
23-05-2020,out,19:14,7
23-05-2020,out,19:15,7
23-05-2020,out,21:03,6
24-05-2020,out,09:07,6
24-05-2020,out,18:26,6
24-05-2020,out,18:50,7
24-05-2020,out,19:58,9
24-05-2020,out,20:17,7
24-05-2020,out,20:33,6
25-05-2020,out,11:57,6
25-05-2020,out,18:21,6
25-05-2020,out,18:21,6
25-05-2020,out,20:29,6
25-05-2020,out,21:05,5
25-05-2020,out,21:47,6
25-05-2020,out,21:53,4
25-05-2020,out,23:06,5
26-05-2020,out,09:28,8
26-05-2020,out,09:52,6
26-05-2020,out,10:40,9
26-05-2020,out,12:44,6
26-05-2020,out,20:03,10
27-05-2020,out,06:04,9
27-05-2020,out,07:42,7
27-05-2020,out,16:43,5
27-05-2020,out,17:32,5
27-05-2020,out,18:46,10
27-05-2020,out,18:59,6
27-05-2020,out,19:01,6
27-05-2020,out,19:19,5
27-05-2020,out,19:54,6
27-05-2020,out,20:30,5
27-05-2020,out,20:33,6
27-05-2020,out,20:35,5
27-05-2020,out,20:36,6